label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
Pataka,0.0,0.0,0.0,-0.2751229315685878,-0.161603873347649,-0.1706669330503241,-0.45131105681386036,-0.5137819503994019,-0.3056211981838809,-0.4785151365516818,-0.8391707987373109,-0.4203042082503767,-0.3927475226570359,-1.1171899276704167,-0.5387454067186673,-0.2042365312757797,-1.0061378899992621,-0.30149497872529285,-0.12652329477975788,-1.5741459429501155,-0.47446715047956234,-0.044855841581087706,-1.9181442919341285,-0.5917084147450453,0.035961017791441036,-2.2123321649132737,-0.6652133755929792,0.022957079686596046,-0.9494674494000571,-0.3130248153453867,0.09673430517238868,-1.5594820038414112,-0.4606366440934897,0.15792005594552141,-1.9754671529206829,-0.5684422859682846,0.2177827602515366,-2.3445416048072936,-0.6405552574810873,0.23239088846708691,-0.8052303143504234,-0.33474730286143456,0.302329398938202,-1.3658083556164375,-0.46214443357056567,0.34195214853768835,-1.7346819479784892,-0.5420643268307296,0.37590874943917646,-2.0524229132304774,-0.5896991479780136,0.4273037175924602,-0.6072320680409623,-0.36726360219073656,0.4816784502230057,-1.05475007329818,-0.485643281833619,0.5009567862250336,-1.3563276666756627,-0.5345202684210436,0.5149372657330837,-1.6241477279523717,-0.5558815147082087
Pataka,0.0,0.0,0.0,-0.25855010979893406,-0.1574912099169079,-0.09724795916294665,-0.4171403757211755,-0.48652505539282337,-0.14477299340346703,-0.4356451179312642,-0.798249380840339,-0.18706918154189534,-0.4010768050428478,-1.051152127036353,-0.22225309995588666,-0.2565053544401741,-0.9723413014328351,-0.03892697406864558,-0.25130748447215373,-1.3415426423830128,-0.11435684124410164,-0.22484670492433803,-1.5632288880308536,-0.1839135330224383,-0.18875461840650087,-1.7553768406297106,-0.23449624404203115,-0.10688704022787117,-0.992997443569964,-0.05031140720395088,-0.10340625553094751,-1.4022571872037115,-0.10414083755646063,-0.09400351460533918,-1.6423061781617272,-0.15510613229242493,-0.08196942423098172,-1.8486560731165924,-0.19421635067681975,0.02755562461060005,-0.9360733346168978,-0.08116035918164215,0.030297633712385516,-1.3064927151816472,-0.12973153110005398,0.028152207448031374,-1.528874549781273,-0.15464945312474496,0.024914090556615726,-1.720630688865264,-0.1769173824870171,0.16590819857042435,-0.8130615181503912,-0.12626476247644078,0.16969648000233398,-1.097734259017553,-0.16667487679176285,0.15768745942547854,-1.2819647582639007,-0.17664136989225346,0.13734273117919532,-1.4528973947266575,-0.1851043606448972
Pataka,0.0,0.0,0.0,-0.2754986796830204,-0.15067890435361625,-0.09516326269130031,-0.4317404340596381,-0.47240710878337855,-0.1317972015041456,-0.4308131948671361,-0.7942031885263487,-0.16067184491477451,-0.4178702698407923,-1.0584962976439447,-0.17975079333907049,-0.2479615870969457,-0.9738744087759381,-0.014663028466833794,-0.24944002064325724,-1.3348273276117784,-0.07272806410164849,-0.22601523582636884,-1.5496415764068046,-0.1332437575461398,-0.19609080463780698,-1.7357326700306477,-0.17728544932544504,-0.09598934595631207,-0.9952245105279036,-0.017726226540755452,-0.09828520892117129,-1.387721701001134,-0.054111382155829404,-0.09559711246533154,-1.6217844524107234,-0.09566170983242112,-0.08984233914291445,-1.815987036050926,-0.1273718968703889,0.03771955983129095,-0.9344776655587985,-0.04073446593638686,0.033178350298471534,-1.2940283155316827,-0.07812577280496093,0.02428161312413726,-1.5041081637084512,-0.09614358432837199,0.014740060474327271,-1.6804301858524353,-0.11156121548050792,0.1799261427621262,-0.8124635982193273,-0.07785894651308725,0.18031720598908593,-1.0996389772581567,-0.11065844212019135,0.16075156182487826,-1.2674585436808234,-0.113889772696449,0.13318014149419266,-1.420308287793074,-0.11500585105506173
Pataka,0.0,0.0,0.0,-0.24605563466422364,-0.1587797097369164,-0.09301388784025363,-0.3895878714495696,-0.48129862558625175,-0.13204599052352148,-0.40526792818759033,-0.7837814726182541,-0.1663131603634705,-0.39011123800298986,-1.0371194979532303,-0.19055165515704142,-0.2511246426296814,-0.9695602113623415,-0.006217179761575671,-0.2655480473699023,-1.3365033750875328,-0.06536874289099567,-0.243556767469675,-1.547838828377023,-0.12960414706735882,-0.20981224071732782,-1.7388014842192587,-0.17917878874883225,-0.1072368183301578,-0.9941432222044192,-0.013398452874853514,-0.12121112150254561,-1.3965116944836102,-0.04996018905562523,-0.11318608097592082,-1.6249117717686847,-0.09831837986519872,-0.09886061237256016,-1.8300935711254587,-0.1388330347158668,0.023977705688097053,-0.941908534898644,-0.0404932242510447,0.010446131081276497,-1.311580904328848,-0.07305400241225125,-0.001007324541809162,-1.5276364111944256,-0.09418273222265147,-0.01191270197003571,-1.7195559278054269,-0.11685296447141062,0.1729934557087194,-0.8218758985701892,-0.08239140993352517,0.1605818387041608,-1.108522420247388,-0.10922886219830144,0.1368730997239348,-1.2853614625784369,-0.11316154109904404,0.10654125065429008,-1.4511403545690897,-0.11917932164799387
Pataka,0.0,0.0,0.0,-0.2789083841626899,-0.14469776911482152,-0.09088540692367954,-0.4386264693058878,-0.47471826428660674,-0.1302551620981465,-0.44888489420772804,-0.7912387889967569,-0.16496376271673183,-0.41516036793245426,-1.038815445724221,-0.19229398347444912,-0.2741561319645242,-0.9642945458887592,-0.030218677638763045,-0.2854526955030101,-1.3490297666759565,-0.09959834689154225,-0.27020417133267605,-1.5779274827795482,-0.16369928836509223,-0.24630562074046417,-1.7792711498343627,-0.20942854633854868,-0.12380343803523147,-0.9915292077434263,-0.03927516928480257,-0.14346815446865652,-1.411760694045001,-0.09008956847714118,-0.15319096756699777,-1.6585722282691204,-0.13578404815499107,-0.1562248853994634,-1.8750069402456235,-0.1692373411730728,0.014046263239814682,-0.9417735805187762,-0.06646890232833634,-0.007903139728963574,-1.3266598980209685,-0.11329302533445593,-0.029486523931245675,-1.542659816174495,-0.12869868683198993,-0.04706245853565565,-1.7281619044526209,-0.140924747538285,0.16606987842768842,-0.8291768295277665,-0.1074052601565382,0.148827659154155,-1.1279773567311064,-0.14215136630130787,0.12030893573360912,-1.3082591837619488,-0.1406061418789079,0.08613216135966113,-1.4705037101844916,-0.1382362517757133
Pataka,0.0,0.0,0.0,-0.27355118644077053,-0.15681157349308242,-0.09839766308221598,-0.429946141519842,-0.49437316195449366,-0.13952523162207636,-0.4439823524319922,-0.8222846378206189,-0.17377361888670012,-0.4032303406592708,-1.078107202099158,-0.1994959799384092,-0.2518588868605606,-0.9803205356222848,-0.03466292442504153,-0.26568765893843654,-1.3798364155889502,-0.10254201537298359,-0.25257085175469907,-1.6137424142468682,-0.16818098450394675,-0.22967714768116107,-1.824447757381371,-0.2152674239523694,-0.0982000935242028,-0.9944333393347824,-0.03819784354268502,-0.11737527516572284,-1.4295448528901746,-0.08137274633955895,-0.1253304819290787,-1.6894671628570064,-0.12954032471589677,-0.12552776641482202,-1.9200416648240557,-0.16702830275080177,0.04422160760361019,-0.9371036282747469,-0.059804352477382666,0.03198909911479278,-1.3290887532466482,-0.09710669179501571,0.014353316710558164,-1.5535802201951971,-0.11380474731156896,-0.002974353746824375,-1.7445368060583057,-0.12949123932040899,0.20043929676975644,-0.8188907644173462,-0.09602117380429658,0.19255633094309188,-1.1155990877449709,-0.12266997409732901,0.1681240980049997,-1.2950438337407124,-0.11992773787826201,0.13822389344513625,-1.4582993568115081,-0.11802769607324232
Pataka,0.0,0.0,0.0,-0.2781505875035964,-0.12370697710080453,-0.10545438880310774,-0.4451135355416967,-0.4525947203671675,-0.14573021122052315,-0.4721881650563069,-0.7855034874000624,-0.17588355190037366,-0.49978266680844885,-1.0624797686096366,-0.1968586404551583,-0.3074683851556806,-0.9519228169972852,-0.041766841742068385,-0.3481532641950147,-1.3434284504074632,-0.10786427507657104,-0.3480628024679836,-1.5795344060372893,-0.1724442747791984,-0.33772783284757896,-1.7871943889092936,-0.21720081495023444,-0.15810024302512657,-0.986713831827647,-0.037418274083629216,-0.2072916340272495,-1.408451774411614,-0.07498968839970152,-0.2328236084030827,-1.6627675343463495,-0.11890112698939236,-0.2509221730530334,-1.8790591207880527,-0.15298203493086626,-0.01835355364301953,-0.9455424383126239,-0.05125224853384749,-0.05982403624303923,-1.3257126519400129,-0.08108318679885429,-0.09489378626981564,-1.547276602256695,-0.09459001489405154,-0.1262577151101842,-1.7263557678590213,-0.10883602307575975,0.14200681909339935,-0.8445170431074824,-0.08051740346802362,0.11524484792284034,-1.1329511501242346,-0.10026776921744161,0.07542472645534402,-1.3019910428763892,-0.09511082355180454,0.02939723435613334,-1.4466981445216665,-0.09165501773030946
Pataka,0.0,0.0,0.0,-0.27589930849733735,-0.1163465772604047,-0.11997807561061026,-0.4485091226992984,-0.42949126079976246,-0.17884763440822943,-0.4826094311867935,-0.7470967820867188,-0.22688582993178702,-0.5141168033693241,-1.0320347235186376,-0.26777514437245975,-0.3248642240130726,-0.9462930221823111,-0.08179435919664653,-0.3532900714533841,-1.338730292840864,-0.17355118069117703,-0.3431335076696229,-1.5788679655867248,-0.25268961246243893,-0.3213328434920961,-1.7963161482466643,-0.3080855574613749,-0.17019104828291953,-0.9816172067319348,-0.08638672659705918,-0.2073893365636294,-1.4053027458084946,-0.15285262519841106,-0.21882281230465106,-1.665826834387466,-0.21296476185650176,-0.22172801484658633,-1.9044776034098991,-0.2586991078411921,-0.024320312216903044,-0.9353172500135987,-0.11040338774551747,-0.05819189549555895,-1.325151837913905,-0.1727846917580693,-0.07966776228189519,-1.5516320714880276,-0.2030376827454719,-0.09925965230654771,-1.7563951819127552,-0.22711411212002247,0.13545848610524638,-0.8253263729115964,-0.14938763447933615,0.11126880167778554,-1.1226433226302086,-0.20369466647863665,0.0835407749770039,-1.3056700701536077,-0.2169511403596717,0.04938262065639343,-1.479081751648317,-0.22515983748182572
Pataka,0.0,0.0,0.0,-0.25815968367932945,-0.15094042835522836,-0.11674774103127789,-0.40879275168471396,-0.4653368757903171,-0.1726897477455495,-0.41947714968983596,-0.7880273111775904,-0.2175361713405817,-0.4248983503431168,-1.070042425349045,-0.25261933665408826,-0.23443562045106672,-0.9724276231347888,-0.06832315887848467,-0.2428929110210677,-1.3895580124039475,-0.14307793483932224,-0.22774091039906794,-1.626923875899896,-0.21164291316269943,-0.20852921506549596,-1.8414365769773708,-0.2599868507023764,-0.08647424463366277,-0.9942711263278226,-0.06282620763535317,-0.1093003526474769,-1.4211500264388535,-0.11510653054706586,-0.12113261047091331,-1.6824863713745777,-0.16951864728495794,-0.12886793891244705,-1.909175646384275,-0.21092743572400885,0.05089798141770421,-0.9386712567271164,-0.07462949789632628,0.03005744357679261,-1.3302614512634674,-0.1230864032642226,0.012442794852300538,-1.5543271462996562,-0.14938501035754845,-0.008946082777896972,-1.7370400443579839,-0.16874644624268342,0.20144542362689807,-0.8224377247906929,-0.10086162820346056,0.18766580649074843,-1.129600326460309,-0.14234098122373695,0.15764155336915675,-1.313641121638062,-0.15069978120976457,0.12137777358117899,-1.468945955396518,-0.15294280402597724
Pataka,0.0,0.0,0.0,-0.28309450004553505,-0.14946681078732363,-0.10243966026553777,-0.43912712984580077,-0.4730725239139846,-0.1530170939971801,-0.4534515325460856,-0.7917465131160373,-0.19578242274958366,-0.4804138520234283,-1.071124631866402,-0.2340422956262804,-0.2677580810512309,-0.962725000710487,-0.07961741736805332,-0.28193641311423034,-1.3743296033658376,-0.16780782190554513,-0.2684004924790873,-1.6188428688956438,-0.2429401772699141,-0.24605654983765862,-1.8400762669406803,-0.2957682105617423,-0.11571912975081992,-0.9890691083360906,-0.09138589576605108,-0.13686930979718334,-1.4250339523357576,-0.1601731674907413,-0.14375571082363828,-1.6996589749604831,-0.22644278672988405,-0.1421647758040497,-1.942627584041523,-0.27565845636331937,0.026028889435663123,-0.9338489188785475,-0.11900473789314851,0.0088584169998496,-1.3317408442010323,-0.18544346570367035,-0.005199915103227915,-1.5758165215193978,-0.22824816554479566,-0.019258496686471588,-1.7880428123855543,-0.25942899192923247,0.17554584573638446,-0.8138828882592226,-0.1587022636160954,0.16744921642389785,-1.1185742625886268,-0.2192196030716264,0.14515903675827616,-1.3186882913878202,-0.24282317107198606,0.11736033502388929,-1.5027367954071131,-0.2570769397002275
